account_id,segment,score,outcome,arr,snapshot_date
ACC-0050,Enterprise,67,0,"$257,000",2025-09-30
ACC-0051,Mid-Market,76,0,"$31,000",2025-09-30
ACC-0052,SMB,65,0,"$17,000",2025-09-30
ACC-0053,Enterprise,67,0,"$337,000",2025-09-30
ACC-0054,Mid-Market,64,0,"$35,000",2025-09-30
ACC-0055,Mid-Market,60,0,"$53,000",2025-09-30
ACC-0056,Mid-Market,70,0,"$63,000",2025-09-30
ACC-0057,Mid-Market,59,0,"$74,000",2025-09-30
ACC-0058,Enterprise,100,0,"$151,000",2025-09-30
ACC-0059,SMB,83,0,"$5,000",2025-09-30
ACC-0060,SMB,53,0,"$20,000",2025-09-30
ACC-0061,SMB,31,0,"$9,000",2025-09-30
ACC-0062,Mid-Market,61,0,"$87,000",2025-09-30
ACC-0063,SMB,72,0,"$3,000",2025-09-30
ACC-0064,Mid-Market,87,0,"$89,000",2025-09-30
ACC-0065,Mid-Market,63,0,"$71,000",2025-09-30
ACC-0066,Mid-Market,59,0,"$75,000",2025-09-30
ACC-0067,Mid-Market,80,1,"$36,000",2025-09-30
ACC-0068,Enterprise,77,0,"$86,000",2025-09-30
ACC-0069,SMB,66,0,"$19,000",2025-09-30
ACC-0070,SMB,87,0,"$3,000",2025-09-30
ACC-0071,Mid-Market,47,0,"$88,000",2025-09-30
ACC-0072,Mid-Market,77,0,"$37,000",2025-09-30
ACC-0073,SMB,54,0,"$9,000",2025-09-30
ACC-0074,Enterprise,54,0,"$129,000",2025-09-30
ACC-0075,Enterprise,81,0,"$295,000",2025-09-30
ACC-0076,Enterprise,75,0,"$89,000",2025-09-30
ACC-0077,SMB,45,0,"$19,000",2025-09-30
ACC-0078,SMB,92,0,"$6,000",2025-09-30
ACC-0079,Enterprise,67,0,"$326,000",2025-09-30
ACC-0080,Enterprise,41,0,"$160,000",2025-09-30
ACC-0081,SMB,84,0,"$15,000",2025-09-30
ACC-0082,Mid-Market,86,0,"$46,000",2025-09-30
ACC-0083,Enterprise,55,0,"$312,000",2025-09-30
ACC-0084,Mid-Market,32,1,"$32,000",2025-09-30
ACC-0085,SMB,62,0,"$19,000",2025-09-30
ACC-0086,SMB,72,0,"$6,000",2025-09-30
ACC-0087,SMB,71,0,"$14,000",2025-09-30
ACC-0088,SMB,33,0,"$8,000",2025-09-30
ACC-0089,Enterprise,54,1,"$262,000",2025-09-30
ACC-0090,Mid-Market,82,0,"$63,000",2025-09-30
ACC-0091,SMB,45,0,"$6,000",2025-09-30
ACC-0092,SMB,56,0,"$6,000",2025-09-30
ACC-0093,SMB,65,1,"$3,000",2025-09-30
ACC-0094,Enterprise,84,0,"$254,000",2025-09-30
ACC-0095,Mid-Market,88,0,"$29,000",2025-09-30
ACC-0096,SMB,61,0,"$8,000",2025-09-30
ACC-0097,Mid-Market,100,0,"$27,000",2025-09-30
ACC-0098,SMB,59,0,"$12,000",2025-09-30
ACC-0099,Mid-Market,60,0,"$57,000",2025-09-30
ACC-0100,Enterprise,91,0,"$101,000",2025-09-30
ACC-0101,SMB,36,0,"$5,000",2025-09-30
ACC-0102,SMB,90,0,"$10,000",2025-09-30
ACC-0103,Enterprise,92,0,"$153,000",2025-09-30
ACC-0104,Enterprise,85,0,"$140,000",2025-09-30
ACC-0105,Mid-Market,75,0,"$78,000",2025-09-30
ACC-0106,SMB,80,0,"$7,000",2025-09-30
ACC-0107,SMB,64,0,"$14,000",2025-09-30
ACC-0108,Mid-Market,52,0,"$44,000",2025-09-30
ACC-0109,SMB,71,0,"$4,000",2025-09-30
ACC-0110,Enterprise,78,0,"$93,000",2025-09-30
ACC-0111,Mid-Market,60,0,"$90,000",2025-09-30
ACC-0112,SMB,95,0,"$9,000",2025-09-30
ACC-0113,Mid-Market,56,0,"$77,000",2025-09-30
ACC-0114,Mid-Market,66,0,"$39,000",2025-09-30
ACC-0115,Enterprise,78,0,"$174,000",2025-09-30
ACC-0116,SMB,45,0,"$20,000",2025-09-30
ACC-0117,Enterprise,46,0,"$233,000",2025-09-30
ACC-0118,Mid-Market,57,0,"$30,000",2025-09-30
ACC-0119,Mid-Market,67,0,"$65,000",2025-09-30
ACC-0120,Mid-Market,50,0,"$55,000",2025-09-30
ACC-0121,Mid-Market,85,0,"$51,000",2025-09-30
ACC-0122,Mid-Market,65,0,"$70,000",2025-09-30
ACC-0123,SMB,64,0,"$8,000",2025-09-30
ACC-0124,Enterprise,48,0,"$224,000",2025-09-30
ACC-0125,Mid-Market,43,0,"$28,000",2025-09-30
ACC-0126,Mid-Market,59,0,"$30,000",2025-09-30
ACC-0127,SMB,72,0,"$16,000",2025-09-30
ACC-0128,Mid-Market,61,0,"$63,000",2025-09-30
ACC-0129,Mid-Market,41,0,"$82,000",2025-09-30
ACC-0130,SMB,100,0,"$16,000",2025-09-30
ACC-0131,SMB,82,1,"$17,000",2025-09-30
ACC-0132,SMB,64,0,"$3,000",2025-09-30
ACC-0133,SMB,49,1,"$8,000",2025-09-30
ACC-0134,Mid-Market,74,0,"$57,000",2025-09-30
ACC-0135,SMB,80,0,"$4,000",2025-09-30
ACC-0136,SMB,71,1,"$13,000",2025-09-30
ACC-0137,Enterprise,71,0,"$321,000",2025-09-30
ACC-0138,Mid-Market,77,0,"$42,000",2025-09-30
ACC-0139,SMB,87,0,"$13,000",2025-09-30
ACC-0140,SMB,57,0,"$10,000",2025-09-30
ACC-0141,Mid-Market,67,0,"$86,000",2025-09-30
ACC-0142,SMB,75,1,"$18,000",2025-09-30
ACC-0143,SMB,53,0,"$8,000",2025-09-30
ACC-0144,SMB,70,0,"$11,000",2025-09-30
ACC-0145,Mid-Market,88,0,"$39,000",2025-09-30
ACC-0146,Enterprise,73,0,"$350,000",2025-09-30
ACC-0147,SMB,91,0,"$3,000",2025-09-30
ACC-0148,SMB,80,0,"$9,000",2025-09-30
ACC-0149,Enterprise,48,0,"$239,000",2025-09-30
ACC-0150,Mid-Market,76,0,"$28,000",2025-09-30
ACC-0151,Enterprise,82,0,"$142,000",2025-09-30
ACC-0152,SMB,86,0,"$12,000",2025-09-30
ACC-0153,SMB,63,0,"$12,000",2025-09-30
ACC-0154,SMB,66,0,"$15,000",2025-09-30
ACC-0155,SMB,75,0,"$12,000",2025-09-30
ACC-0156,SMB,72,0,"$15,000",2025-09-30
ACC-0157,Enterprise,71,0,"$171,000",2025-09-30
ACC-0158,Mid-Market,72,0,"$31,000",2025-09-30
ACC-0159,Mid-Market,71,0,"$63,000",2025-09-30
ACC-0160,SMB,73,0,"$15,000",2025-09-30
ACC-0161,Mid-Market,88,0,"$60,000",2025-09-30
ACC-0162,SMB,54,0,"$13,000",2025-09-30
ACC-0163,Enterprise,59,0,"$184,000",2025-09-30
ACC-0164,SMB,84,0,"$11,000",2025-09-30
ACC-0165,SMB,84,0,"$7,000",2025-09-30
ACC-0166,SMB,53,0,"$3,000",2025-09-30
ACC-0167,SMB,68,0,"$13,000",2025-09-30
ACC-0168,Mid-Market,73,0,"$54,000",2025-09-30
ACC-0169,SMB,38,1,"$20,000",2025-09-30
ACC-0170,SMB,74,0,"$13,000",2025-09-30
ACC-0171,SMB,90,0,"$14,000",2025-09-30
ACC-0172,SMB,89,0,"$17,000",2025-09-30
ACC-0173,Enterprise,88,0,"$150,000",2025-09-30
ACC-0174,SMB,100,0,"$9,000",2025-09-30
ACC-0175,Mid-Market,87,0,"$42,000",2025-09-30
ACC-0176,Mid-Market,70,0,"$62,000",2025-09-30
ACC-0177,SMB,92,0,"$18,000",2025-09-30
ACC-0178,Mid-Market,72,0,"$72,000",2025-09-30
ACC-0179,Mid-Market,100,0,"$75,000",2025-09-30
ACC-0180,SMB,64,0,"$19,000",2025-09-30
ACC-0181,Mid-Market,62,0,"$75,000",2025-09-30
ACC-0182,SMB,67,0,"$10,000",2025-09-30
ACC-0183,Enterprise,45,0,"$106,000",2025-09-30
ACC-0184,Mid-Market,72,0,"$70,000",2025-09-30
ACC-0185,SMB,95,0,"$16,000",2025-09-30
ACC-0186,SMB,65,0,"$5,000",2025-09-30
ACC-0187,Enterprise,68,0,"$312,000",2025-09-30
ACC-0188,Mid-Market,57,0,"$42,000",2025-09-30
ACC-0189,Mid-Market,44,1,"$49,000",2025-09-30
ACC-0190,Mid-Market,72,0,"$59,000",2025-09-30
ACC-0191,Mid-Market,100,0,"$45,000",2025-09-30
ACC-0192,SMB,46,0,"$13,000",2025-09-30
ACC-0193,SMB,53,0,"$20,000",2025-09-30
ACC-0194,SMB,82,0,"$12,000",2025-09-30
ACC-0195,SMB,51,0,"$17,000",2025-09-30
ACC-0196,Mid-Market,100,0,"$35,000",2025-09-30
ACC-0197,Mid-Market,62,0,"$67,000",2025-09-30
ACC-0198,SMB,45,0,"$8,000",2025-09-30
ACC-0199,SMB,61,1,"$19,000",2025-09-30
ACC-0200,Enterprise,91,0,"$83,000",2025-09-30
ACC-0201,Mid-Market,68,0,"$51,000",2025-09-30
ACC-0202,Mid-Market,58,0,"$39,000",2025-09-30
ACC-0203,SMB,86,1,"$8,000",2025-09-30
ACC-0204,Enterprise,54,0,"$264,000",2025-09-30
ACC-0205,SMB,44,0,"$8,000",2025-09-30
ACC-0206,SMB,63,0,"$10,000",2025-09-30
ACC-0207,SMB,52,0,"$18,000",2025-09-30
ACC-0208,Mid-Market,61,0,"$83,000",2025-09-30
ACC-0209,Enterprise,42,0,"$172,000",2025-09-30
ACC-0210,SMB,49,0,"$17,000",2025-09-30
ACC-0211,SMB,68,0,"$10,000",2025-09-30
ACC-0212,SMB,62,1,"$13,000",2025-09-30
ACC-0213,SMB,63,0,"$19,000",2025-09-30
ACC-0214,Enterprise,34,0,"$161,000",2025-09-30
ACC-0215,Enterprise,51,0,"$101,000",2025-09-30
ACC-0216,SMB,75,0,"$17,000",2025-09-30
ACC-0217,Mid-Market,67,0,"$38,000",2025-09-30
ACC-0218,Mid-Market,65,0,"$29,000",2025-09-30
ACC-0219,SMB,55,0,"$6,000",2025-09-30
ACC-0220,SMB,17,1,"$10,000",2025-09-30
ACC-0221,Mid-Market,39,0,"$40,000",2025-09-30
ACC-0222,SMB,100,0,"$17,000",2025-09-30
ACC-0223,SMB,77,0,"$16,000",2025-09-30
ACC-0224,Mid-Market,61,0,"$40,000",2025-09-30
ACC-0225,Enterprise,70,0,"$308,000",2025-09-30
ACC-0226,SMB,85,0,"$5,000",2025-09-30
ACC-0227,Enterprise,58,0,"$345,000",2025-09-30
ACC-0228,Mid-Market,100,0,"$54,000",2025-09-30
ACC-0229,Mid-Market,90,0,"$35,000",2025-09-30
ACC-0230,SMB,100,0,"$15,000",2025-09-30
ACC-0231,Mid-Market,68,1,"$50,000",2025-09-30
ACC-0232,Enterprise,44,0,"$384,000",2025-09-30
ACC-0233,Enterprise,48,0,"$344,000",2025-09-30
ACC-0234,Mid-Market,76,0,"$38,000",2025-09-30
ACC-0235,SMB,46,1,"$10,000",2025-09-30
ACC-0236,Enterprise,61,0,"$392,000",2025-09-30
ACC-0237,Enterprise,91,0,"$232,000",2025-09-30
ACC-0238,SMB,69,0,"$10,000",2025-09-30
ACC-0239,SMB,64,0,"$18,000",2025-09-30
ACC-0240,Mid-Market,98,0,"$55,000",2025-09-30
ACC-0241,Enterprise,49,0,"$202,000",2025-09-30
ACC-0242,SMB,77,0,"$11,000",2025-09-30
ACC-0243,SMB,39,1,"$14,000",2025-09-30
ACC-0244,SMB,56,0,"$15,000",2025-09-30
ACC-0245,Mid-Market,48,0,"$29,000",2025-09-30
ACC-0246,Enterprise,55,0,"$271,000",2025-09-30
ACC-0247,SMB,85,0,"$3,000",2025-09-30
ACC-0248,SMB,49,0,"$20,000",2025-09-30
ACC-0249,Mid-Market,53,0,"$68,000",2025-09-30
ACC-0250,Enterprise,73,0,"$339,000",2025-09-30
ACC-0251,Mid-Market,62,0,"$49,000",2025-09-30
ACC-0252,SMB,66,0,"$15,000",2025-09-30
ACC-0253,Enterprise,32,0,"$120,000",2025-09-30
ACC-0254,Mid-Market,55,0,"$46,000",2025-09-30
ACC-0255,SMB,98,0,"$12,000",2025-09-30
ACC-0256,Mid-Market,58,0,"$83,000",2025-09-30
ACC-0257,SMB,47,0,"$5,000",2025-09-30
ACC-0258,SMB,87,0,"$17,000",2025-09-30
ACC-0259,Mid-Market,63,0,"$81,000",2025-09-30
ACC-0260,Mid-Market,61,0,"$52,000",2025-09-30
ACC-0261,Mid-Market,61,0,"$36,000",2025-09-30
ACC-0262,SMB,55,1,"$7,000",2025-09-30
ACC-0263,Enterprise,55,0,"$87,000",2025-09-30
ACC-0264,Mid-Market,55,0,"$70,000",2025-09-30
ACC-0265,SMB,71,0,"$9,000",2025-09-30
ACC-0266,Mid-Market,65,0,"$71,000",2025-09-30
ACC-0267,SMB,83,0,"$17,000",2025-09-30
ACC-0268,SMB,35,0,"$15,000",2025-09-30
ACC-0269,SMB,57,0,"$12,000",2025-09-30
ACC-0270,SMB,71,0,"$20,000",2025-09-30
ACC-0271,SMB,65,0,"$11,000",2025-09-30
ACC-0272,SMB,86,0,"$11,000",2025-09-30
ACC-0273,Mid-Market,76,0,"$26,000",2025-09-30
ACC-0274,Enterprise,71,0,"$238,000",2025-09-30
ACC-0275,Enterprise,4,1,"$289,000",2025-09-30
ACC-0276,Mid-Market,72,0,"$27,000",2025-09-30
ACC-0277,SMB,52,0,"$17,000",2025-09-30
ACC-0278,SMB,45,0,"$3,000",2025-09-30
ACC-0279,SMB,39,0,"$5,000",2025-09-30
ACC-0280,Mid-Market,59,1,"$28,000",2025-09-30
ACC-0281,Enterprise,33,0,"$333,000",2025-09-30
ACC-0282,SMB,60,0,"$15,000",2025-09-30
ACC-0283,SMB,33,0,"$10,000",2025-09-30
ACC-0284,Mid-Market,86,0,"$55,000",2025-09-30
ACC-0285,SMB,51,1,"$11,000",2025-09-30
ACC-0286,Mid-Market,70,0,"$26,000",2025-09-30
ACC-0287,Mid-Market,61,0,"$67,000",2025-09-30
ACC-0288,Enterprise,55,1,"$284,000",2025-09-30
ACC-0289,Mid-Market,56,0,"$22,000",2025-09-30
ACC-0290,Mid-Market,86,0,"$61,000",2025-09-30
ACC-0291,Mid-Market,85,0,"$54,000",2025-09-30
ACC-0292,SMB,58,0,"$14,000",2025-09-30
ACC-0293,Mid-Market,95,0,"$47,000",2025-09-30
ACC-0294,SMB,67,0,"$6,000",2025-09-30
ACC-0295,Enterprise,63,0,"$319,000",2025-09-30
ACC-0296,Mid-Market,36,0,"$25,000",2025-09-30
ACC-0297,SMB,46,0,"$13,000",2025-09-30
ACC-0298,Enterprise,62,0,"$211,000",2025-09-30
ACC-0299,SMB,84,0,"$6,000",2025-09-30
ACC-0300,Mid-Market,64,0,"$34,000",2025-09-30
ACC-0301,Mid-Market,72,0,"$52,000",2025-09-30
ACC-0302,SMB,65,0,"$16,000",2025-09-30
ACC-0303,Enterprise,61,0,"$364,000",2025-09-30
ACC-0304,SMB,91,0,"$20,000",2025-09-30
ACC-0305,SMB,100,0,"$13,000",2025-09-30
ACC-0306,Enterprise,83,0,"$192,000",2025-09-30
ACC-0307,Mid-Market,62,0,"$82,000",2025-09-30
ACC-0308,Enterprise,63,0,"$352,000",2025-09-30
ACC-0309,SMB,83,0,"$9,000",2025-09-30
ACC-0310,SMB,65,0,"$17,000",2025-09-30
ACC-0311,Enterprise,63,0,"$398,000",2025-09-30
ACC-0312,Enterprise,79,0,"$185,000",2025-09-30
ACC-0313,SMB,68,0,"$11,000",2025-09-30
ACC-0314,Mid-Market,72,0,"$64,000",2025-09-30
ACC-0315,SMB,68,0,"$17,000",2025-09-30
ACC-0316,Mid-Market,89,0,"$72,000",2025-09-30
ACC-0317,Mid-Market,83,0,"$54,000",2025-09-30
ACC-0318,SMB,73,1,"$3,000",2025-09-30
ACC-0319,Mid-Market,91,0,"$55,000",2025-09-30
ACC-0320,Enterprise,94,0,"$382,000",2025-09-30
ACC-0321,SMB,54,0,"$3,000",2025-09-30
ACC-0322,SMB,69,0,"$7,000",2025-09-30
ACC-0323,Mid-Market,53,0,"$27,000",2025-09-30
ACC-0324,SMB,81,0,"$10,000",2025-09-30
ACC-0325,SMB,47,1,"$9,000",2025-09-30
ACC-0326,Mid-Market,6,0,"$67,000",2025-09-30
ACC-0327,Mid-Market,92,1,"$52,000",2025-09-30
ACC-0328,SMB,84,0,"$3,000",2025-09-30
ACC-0329,Mid-Market,43,0,"$64,000",2025-09-30
ACC-0330,Mid-Market,91,0,"$32,000",2025-09-30
ACC-0331,SMB,59,0,"$19,000",2025-09-30
ACC-0332,Mid-Market,63,0,"$51,000",2025-09-30
ACC-0333,Mid-Market,89,0,"$78,000",2025-09-30
ACC-0334,SMB,64,0,"$7,000",2025-09-30
ACC-0335,SMB,47,0,"$3,000",2025-09-30
ACC-0336,Mid-Market,63,0,"$68,000",2025-09-30
ACC-0337,Mid-Market,52,0,"$25,000",2025-09-30
ACC-0338,Mid-Market,53,1,"$88,000",2025-09-30
ACC-0339,SMB,32,1,"$19,000",2025-09-30
ACC-0340,SMB,84,0,"$11,000",2025-09-30
ACC-0341,SMB,65,0,"$14,000",2025-09-30
ACC-0342,SMB,83,0,"$12,000",2025-09-30
ACC-0343,SMB,86,0,"$6,000",2025-09-30
ACC-0344,SMB,74,1,"$10,000",2025-09-30
ACC-0345,Mid-Market,37,0,"$33,000",2025-09-30
ACC-0346,SMB,61,0,"$14,000",2025-09-30
ACC-0347,SMB,73,1,"$6,000",2025-09-30
ACC-0348,Mid-Market,95,0,"$31,000",2025-09-30
ACC-0349,Mid-Market,61,0,"$71,000",2025-09-30
ACC-0350,Mid-Market,97,0,"$70,000",2025-09-30
ACC-0351,SMB,58,0,"$4,000",2025-09-30
ACC-0352,SMB,79,0,"$20,000",2025-09-30
ACC-0353,Enterprise,50,0,"$188,000",2025-09-30
ACC-0354,SMB,90,0,"$8,000",2025-09-30
ACC-0355,SMB,38,0,"$6,000",2025-09-30
ACC-0356,Mid-Market,76,0,"$34,000",2025-09-30
ACC-0357,SMB,57,1,"$9,000",2025-09-30
ACC-0358,Enterprise,63,0,"$151,000",2025-09-30
ACC-0359,SMB,61,0,"$18,000",2025-09-30
ACC-0360,Mid-Market,66,0,"$85,000",2025-09-30
ACC-0361,Enterprise,65,0,"$183,000",2025-09-30
ACC-0362,SMB,55,0,"$15,000",2025-09-30
ACC-0363,Mid-Market,48,0,"$81,000",2025-09-30
ACC-0364,Mid-Market,55,0,"$53,000",2025-09-30
ACC-0365,SMB,53,1,"$10,000",2025-09-30
ACC-0366,SMB,59,0,"$20,000",2025-09-30
ACC-0367,Enterprise,47,0,"$140,000",2025-09-30
ACC-0368,SMB,77,0,"$7,000",2025-09-30
ACC-0369,Enterprise,58,0,"$250,000",2025-09-30
ACC-0370,Mid-Market,43,0,"$58,000",2025-09-30
ACC-0371,Mid-Market,95,0,"$64,000",2025-09-30
ACC-0372,Enterprise,100,0,"$166,000",2025-09-30
ACC-0373,Mid-Market,93,0,"$34,000",2025-09-30
ACC-0374,Mid-Market,57,0,"$57,000",2025-09-30
ACC-0375,Mid-Market,80,0,"$55,000",2025-09-30
ACC-0376,Enterprise,81,0,"$358,000",2025-09-30
ACC-0377,Mid-Market,63,0,"$53,000",2025-09-30
ACC-0378,Enterprise,43,0,"$265,000",2025-09-30
ACC-0379,Mid-Market,59,0,"$54,000",2025-09-30
ACC-0380,SMB,50,1,"$5,000",2025-09-30
ACC-0381,Mid-Market,100,0,"$67,000",2025-09-30
ACC-0382,Mid-Market,66,0,"$38,000",2025-09-30
ACC-0383,Mid-Market,90,0,"$89,000",2025-09-30
ACC-0384,Mid-Market,96,0,"$87,000",2025-09-30
ACC-0385,SMB,99,0,"$9,000",2025-09-30
ACC-0386,Enterprise,49,0,"$365,000",2025-09-30
ACC-0387,SMB,65,0,"$7,000",2025-09-30
ACC-0388,SMB,78,0,"$13,000",2025-09-30
ACC-0389,SMB,84,0,"$6,000",2025-09-30
ACC-0390,Mid-Market,77,0,"$73,000",2025-09-30
ACC-0391,Enterprise,75,0,"$122,000",2025-09-30
ACC-0392,Enterprise,88,0,"$282,000",2025-09-30
ACC-0393,Mid-Market,69,0,"$53,000",2025-09-30
ACC-0394,SMB,83,0,"$14,000",2025-09-30
ACC-0395,Mid-Market,69,0,"$47,000",2025-09-30
ACC-0396,Mid-Market,100,0,"$43,000",2025-09-30
ACC-0397,SMB,47,0,"$8,000",2025-09-30
ACC-0398,Mid-Market,50,1,"$62,000",2025-09-30
ACC-0399,SMB,71,0,"$17,000",2025-09-30
ACC-0400,Enterprise,44,0,"$150,000",2025-09-30
ACC-0401,Enterprise,96,0,"$294,000",2025-09-30
ACC-0402,SMB,81,0,"$18,000",2025-09-30
ACC-0403,SMB,71,1,"$8,000",2025-09-30
ACC-0404,Enterprise,62,0,"$332,000",2025-09-30
ACC-0405,Mid-Market,75,0,"$44,000",2025-09-30
ACC-0406,Enterprise,61,0,"$312,000",2025-09-30
ACC-0407,SMB,74,0,"$4,000",2025-09-30
ACC-0408,Enterprise,61,0,"$378,000",2025-09-30
ACC-0409,Mid-Market,43,0,"$53,000",2025-09-30
ACC-0410,Enterprise,60,0,"$119,000",2025-09-30
ACC-0411,Enterprise,91,0,"$327,000",2025-09-30
ACC-0412,SMB,60,0,"$9,000",2025-09-30
ACC-0413,Enterprise,39,0,"$379,000",2025-09-30
ACC-0414,Enterprise,71,0,"$168,000",2025-09-30
ACC-0415,SMB,84,0,"$17,000",2025-09-30
ACC-0416,Enterprise,68,0,"$165,000",2025-09-30
ACC-0417,Mid-Market,79,0,"$60,000",2025-09-30
ACC-0418,Mid-Market,47,0,"$73,000",2025-09-30
ACC-0419,Mid-Market,50,0,"$40,000",2025-09-30
ACC-0420,Mid-Market,69,0,"$41,000",2025-09-30
ACC-0421,Mid-Market,56,0,"$32,000",2025-09-30
ACC-0422,Mid-Market,60,0,"$85,000",2025-09-30
ACC-0423,SMB,56,0,"$4,000",2025-09-30
ACC-0424,Enterprise,50,0,"$326,000",2025-09-30
ACC-0425,SMB,62,1,"$15,000",2025-09-30
ACC-0426,SMB,85,0,"$16,000",2025-09-30
ACC-0427,Mid-Market,72,0,"$57,000",2025-09-30
ACC-0428,SMB,68,0,"$9,000",2025-09-30
ACC-0429,SMB,51,0,"$11,000",2025-09-30
ACC-0430,SMB,71,0,"$18,000",2025-09-30
ACC-0431,Mid-Market,67,1,"$63,000",2025-09-30
ACC-0432,SMB,100,0,"$8,000",2025-09-30
ACC-0433,Enterprise,100,0,"$175,000",2025-09-30
ACC-0434,SMB,61,0,"$15,000",2025-09-30
ACC-0435,SMB,82,0,"$15,000",2025-09-30
ACC-0436,SMB,49,1,"$10,000",2025-09-30
ACC-0437,Mid-Market,59,0,"$60,000",2025-09-30
ACC-0438,Mid-Market,59,0,"$33,000",2025-09-30
ACC-0439,Mid-Market,69,0,"$58,000",2025-09-30
ACC-0440,SMB,67,0,"$19,000",2025-09-30
ACC-0441,SMB,73,0,"$19,000",2025-09-30
ACC-0442,Mid-Market,69,0,"$66,000",2025-09-30
ACC-0443,Mid-Market,52,0,"$87,000",2025-09-30
ACC-0444,Mid-Market,75,0,"$80,000",2025-09-30
ACC-0445,Enterprise,41,0,"$364,000",2025-09-30
ACC-0446,SMB,77,0,"$5,000",2025-09-30
ACC-0447,Enterprise,66,0,"$362,000",2025-09-30
ACC-0448,Mid-Market,59,0,"$27,000",2025-09-30
ACC-0449,Enterprise,100,0,"$209,000",2025-09-30
ACC-0450,Enterprise,59,0,"$394,000",2025-09-30
ACC-0451,SMB,34,1,"$4,000",2025-09-30
ACC-0452,Enterprise,66,0,"$205,000",2025-09-30
ACC-0453,Mid-Market,43,0,"$33,000",2025-09-30
ACC-0454,SMB,85,0,"$6,000",2025-09-30
ACC-0455,Mid-Market,99,0,"$72,000",2025-09-30
ACC-0456,SMB,70,0,"$11,000",2025-09-30
ACC-0457,Mid-Market,53,0,"$47,000",2025-09-30
ACC-0458,Mid-Market,80,0,"$78,000",2025-09-30
ACC-0459,SMB,40,0,"$5,000",2025-09-30
ACC-0460,SMB,57,0,"$16,000",2025-09-30
ACC-0461,Enterprise,58,0,"$380,000",2025-09-30
ACC-0462,Enterprise,89,0,"$298,000",2025-09-30
ACC-0463,SMB,69,0,"$4,000",2025-09-30
ACC-0464,Mid-Market,83,0,"$70,000",2025-09-30
ACC-0465,SMB,58,0,"$11,000",2025-09-30
ACC-0466,Mid-Market,36,0,"$89,000",2025-09-30
ACC-0467,SMB,86,0,"$11,000",2025-09-30
ACC-0468,SMB,89,0,"$8,000",2025-09-30
ACC-0469,SMB,71,0,"$6,000",2025-09-30
ACC-0470,SMB,45,0,"$3,000",2025-09-30
ACC-0471,SMB,47,1,"$8,000",2025-09-30
ACC-0472,SMB,90,0,"$7,000",2025-09-30
ACC-0473,Mid-Market,62,0,"$39,000",2025-09-30
